SKU,name,orderedQuantity,stockLevel,restockingLeadTime,ratio,comments
GGOEGAWR061849,Infant Short Sleeve Tee Red,1,1,13,1,
GGOEGAAX0575,Women's Weatherblock Shell Jacket Black,1,1,13,1,
GGOEGAAQ057216,Men's Colorblock Tee White/Heather,2,2,13,1,
GGOEGAYB068056,Youth Baseball Raglan Heather/Black,2,2,13,1,
GGOEGATJ060515,Women's Quilted Insulated Vest White,2,2,13,1,
GGOEGAEJ028917,Women's Short Sleeve Hero Dark Grey,4,5,13,0.8,
GGOEGAER029715,Women's Short Sleeve Hero Tee Red Heather,13,14,13,0.9285714286,
GGOEGADB056616,Men's Weatherblock Shell Jacket Black,13,16,13,0.8125,
GGOEAAAP081216,Android Men's Take Charge Short Sleeve Tee Purple,14,16,13,0.875,
GGOEGALP036315,Women's Long Sleeve Tee Lavender,15,18,13,0.8333333333,
GGOEGAWH061349,Onesie Green,19,21,13,0.9047619048,
GGOEAAAJ032913,Android Men's Long & Lean Badge Tee Charcoal,24,27,13,0.8888888889,
GGOEYAEB028414,Women's  Short Sleeve Hero Tee Black,31,37,13,0.8378378378,
GGOEGALB036515,Women's Scoop Neck Tee Black,55,62,13,0.8870967742,
GGOEGOBC078699,Luggage Tag,629,713,13,0.8821879383,
GGOENEBQ079199,Protect Smoke + CO White Wired Alarm-USA,1244,1361,13,0.9140337987,
GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,363,449,13,0.8084632517,
GGOEAAYC068756,Android Youth Short Sleeve T-shirt Aqua,64,77,13,0.8311688312,
GGOEGAWR061849,Infant Short Sleeve Tee Red,1,1,13,1,
GGOEGAAX0575,Women's Weatherblock Shell Jacket Black,1,1,13,1,
GGOEGAAQ057216,Men's Colorblock Tee White/Heather,2,2,13,1,
GGOEGAYB068056,Youth Baseball Raglan Heather/Black,2,2,13,1,
GGOEGATJ060515,Women's Quilted Insulated Vest White,2,2,13,1,
GGOEGAEJ028917,Women's Short Sleeve Hero Dark Grey,4,5,13,0.8,
GGOEGAER029715,Women's Short Sleeve Hero Tee Red Heather,13,14,13,0.9285714286,
GGOEGADB056616,Men's Weatherblock Shell Jacket Black,13,16,13,0.8125,
GGOEAAAP081216,Android Men's Take Charge Short Sleeve Tee Purple,14,16,13,0.875,
GGOEGALP036315,Women's Long Sleeve Tee Lavender,15,18,13,0.8333333333,
GGOEGAWH061349,Onesie Green,19,21,13,0.9047619048,
GGOEAAAJ032913,Android Men's Long & Lean Badge Tee Charcoal,24,27,13,0.8888888889,
GGOEYAEB028414,Women's  Short Sleeve Hero Tee Black,31,37,13,0.8378378378,
GGOEAAXC066429,Android Toddler Short Sleeve T-shirt Aqua,81,99,12,0.8181818182,
GGOEGKAA019299,Switch Tone Color Crayon Pen,1163,388,12,2.99742268,
GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,402,142,12,2.830985915,
GGOEGAEJ031315,Tri-blend Hoodie Grey,28,34,12,0.8235294118,
GGOEGATH060717,Women's Convertible Vest-Jacket Sea Foam Green,1,1,12,1,
GGOEGATB060417,Women's Quilted Insulated Vest Black,1,1,12,1,
GGOEGAAX0567,Men's Softshell Jacket Black/Grey,1,1,12,1,
GGOEGAXC065255,Toddler Short Sleeve T-shirt Royal Blue,2,2,12,1,
GGOEGAAC032117,Men's Short Sleeve Hero Tee Light Blue,2,2,12,1,
GGOEGADJ059717,Men's Quilted Insulated Vest Battleship Grey,3,3,12,1,
GGOEGALJ060115,Women's Short Sleeve Performance Tee Pewter,7,8,12,0.875,
GGOEGAPB057514,Women's Weatherblock Shell Jacket Black,7,8,12,0.875,
GGOEAAEJ030916,Android Women's Long Sleeve Blended Cardigan Grey,8,10,12,0.8,
GGOEGAAB058916,Men's Short Sleeve Performance Badge Tee Black,10,11,12,0.9090909091,
GGOEAAAB081013,Android Men's Outerstellar Short Sleeve Tee Black,10,12,12,0.8333333333,
GGOEGALL074616,Women's Short Sleeve Badge Tee Navy,14,15,12,0.9333333333,
GGOEGADJ057114,Men's Performance 1/4 Zip Pullover Heather/Black,16,19,12,0.8421052632,
GGOEGAEJ028114,Women's Short Sleeve Badge Tee Grey,19,21,12,0.9047619048,
GGOEYAFB073116,Men's Fleece Hoodie Black,20,22,12,0.9090909091,
GGOEGAAX0330,Men's Long & Lean Tee Charcoal,38,43,12,0.8837209302,
GGOEGAAJ032314,Men's Short Sleeve Hero Tee Charcoal,49,59,12,0.8305084746,
GGOEAAXC066429,Android Toddler Short Sleeve T-shirt Aqua,81,99,12,0.8181818182,
GGOEGKAA019299,Switch Tone Color Crayon Pen,1163,388,12,2.99742268,
GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,402,142,12,2.830985915,
GGOEGAEJ031315,Tri-blend Hoodie Grey,28,34,12,0.8235294118,
GGOEGATH060717,Women's Convertible Vest-Jacket Sea Foam Green,1,1,12,1,
GGOEGATB060417,Women's Quilted Insulated Vest Black,1,1,12,1,
GGOEGAAX0567,Men's Softshell Jacket Black/Grey,1,1,12,1,
GGOEGAXC065255,Toddler Short Sleeve T-shirt Royal Blue,2,2,12,1,
GGOEGAAC032117,Men's Short Sleeve Hero Tee Light Blue,2,2,12,1,
GGOEGADJ059717,Men's Quilted Insulated Vest Battleship Grey,3,3,12,1,
GGOEGALJ060115,Women's Short Sleeve Performance Tee Pewter,7,8,12,0.875,
GGOEGAPB057514,Women's Weatherblock Shell Jacket Black,7,8,12,0.875,
GGOEAAEJ030916,Android Women's Long Sleeve Blended Cardigan Grey,8,10,12,0.8,
GGOEGAAB058916,Men's Short Sleeve Performance Badge Tee Black,10,11,12,0.9090909091,
GGOEAAAB081013,Android Men's Outerstellar Short Sleeve Tee Black,10,12,12,0.8333333333,
GGOEGALL074616,Women's Short Sleeve Badge Tee Navy,14,15,12,0.9333333333,
GGOEGADJ057114,Men's Performance 1/4 Zip Pullover Heather/Black,16,19,12,0.8421052632,
GGOEGAEJ028114,Women's Short Sleeve Badge Tee Grey,19,21,12,0.9047619048,
GGOEYAFB073116,Men's Fleece Hoodie Black,20,22,12,0.9090909091,
GGOEGAAX0330,Men's Long & Lean Tee Charcoal,38,43,12,0.8837209302,
GGOEGAAJ032314,Men's Short Sleeve Hero Tee Charcoal,49,59,12,0.8305084746,
GGOEGAEB027815,Women's Short Sleeve Hero Tee Black,163,200,11,0.815,
GGOEGPJC019099,"7"" Dog Frisbee",133,154,11,0.8636363636,
GGOENEBQ079099,Protect Smoke + CO White Battery Alarm-USA,999,325,11,3.073846154,
GGOEGBJC019999,Collapsible Shopping Bag,1184,117,11,10.11965812,
